,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Locality,42372,1,Unknown,42372,,,,,,,
City,42372,1,Unknown,42372,,,,,,,
State,42372,1,Unknown,42372,,,,,,,
Urban_Rural,42372,1,Unknown,42372,,,,,,,
Consumer_Type,42372,1,Unknown,42372,,,,,,,
CONS_NO,42372,42372,0387DD8A07E07FDA6271170F86AD9151,1,,,,,,,
2014-01-02,42372.0,,,,8.086943736429717,68.38362232721606,0.0,0.0,3.62,8.93,10440.0
2014-01-03,42372.0,,,,7.871681590011366,68.69749760696628,0.0,0.0,3.45,8.64,10440.0
2014-01-04,42372.0,,,,8.197614776242283,74.9671398975446,0.0,0.0,3.6,8.8,10440.0
2014-01-05,42372.0,,,,8.293446008352555,71.92389349814795,0.0,0.01,3.72,9.16,10440.0
2014-01-06,42372.0,,,,8.016243397358888,70.61441587511791,0.0,0.0,3.6,8.78,10440.0
2014-01-07,42372.0,,,,8.219095775508999,81.44897513078197,0.0,0.0,3.47,8.64,10440.0
2014-01-08,42372.0,,,,7.974016248703109,69.75710386116045,0.0,0.0,3.51,8.622499999999999,10440.0
2014-01-09,42372.0,,,,8.031551215941212,71.31998078372771,0.0,0.0,3.47,8.73,10440.0
2014-01-10,42372.0,,,,8.030762526047248,71.43522992115076,0.0,0.0,3.33,8.68,10440.0
2014-01-11,42372.0,,,,7.926719328459525,70.86735606988941,0.0,0.0,3.35,8.73,10440.0
2014-01-12,42372.0,,,,8.110359506686017,68.91450372312326,0.0,0.0,3.61,9.08,10440.0
2014-01-13,42372.0,,,,10.209262602247858,455.28625454590156,0.0,0.0,3.66,8.99,92713.9
2014-01-14,42372.0,,,,8.193444449107723,69.71246803826004,0.0,0.0,3.59,9.08,10440.0
2014-01-15,42372.0,,,,8.269842683898306,70.29323389350984,0.0,0.0,3.68,9.19,10440.0
2014-01-16,42372.0,,,,8.160288166871648,70.40784256056557,0.0,0.0,3.52,9.11,10440.0
2014-01-17,42372.0,,,,7.964870804097802,68.43382887909698,0.0,0.0,3.56,8.91,10440.0
2014-01-18,42372.0,,,,8.095471802505868,69.48365093926665,0.0,0.0,3.61,9.08,10440.0
2014-01-19,42372.0,,,,7.973855770799707,69.4396445475918,0.0,0.0,3.49,9.0,10440.0
2014-01-20,42372.0,,,,7.952553512708933,68.88984474345362,0.0,0.0,3.54,8.94,10440.0
2014-01-21,42372.0,,,,8.174071274169302,68.37053610607822,0.0,0.0,3.76,9.26,10440.0
2014-01-22,42372.0,,,,8.298193391100266,70.09007482884239,0.0,0.0,3.76,9.33,10440.0
2014-01-23,42372.0,,,,8.250861491078263,67.87338241714217,0.0,0.0,3.8,9.42,10440.0
2014-01-24,42372.0,,,,8.107098104948014,67.2448618083846,0.0,0.0,3.77,9.27,10440.0
2014-01-25,42372.0,,,,20.159469784427127,2502.6904518969063,0.0,0.0,3.8,9.3,514991.78
2014-01-26,42372.0,,,,8.06863797204982,67.61363336301241,0.0,0.0,3.78,9.26,10440.0
2014-01-27,42372.0,,,,7.992550094346349,67.4307444444787,0.0,0.0,3.71,9.31,10440.0
2014-01-28,42372.0,,,,7.771714033880678,65.81840210520002,0.0,0.0,3.63,9.16,10440.0
2014-01-29,42372.0,,,,7.832641801590541,65.77972338091078,0.0,0.0,3.62,9.47,10440.0
2014-01-30,42372.0,,,,8.080934166541173,65.24988652044121,0.0,0.0,3.56,10.28,10440.0
2014-01-31,42372.0,,,,7.316395322202648,65.41886387014915,0.0,0.0,3.25,8.87,10440.0
2014-02-01,42372.0,,,,7.4229252732950695,65.58806286712576,0.0,0.0,3.44,8.85,10440.0
